frame_indexes,detected_coordinates,frog_id_kmm,frog_id_gmm,frog_id_dbscan
148,"(851.0, 380.0)",3,1,-1
149,"(893.0, 381.0)",3,1,-1
150,"(707.0, 525.0)",2,2,1
151,"(688.0, 525.0)",2,2,1
152,"(687.0, 525.0)",2,2,1
153,"(686.0, 525.0)",2,2,1
154,"(352.0, 380.0)",1,4,0
155,"(397.0, 375.0)",1,4,0
156,"(439.0, 380.0)",1,4,0
157,"(440.0, 369.0)",1,4,0
158,"(129.0, 401.0)",0,3,0
159,"(109.0, 402.0)",0,3,0
160,"(131.0, 413.0)",0,3,0
161,"(131.0, 422.0)",0,3,0
162,"(151.0, 421.0)",0,3,0
163,"(173.0, 403.0)",0,0,0
164,"(234.0, 381.0)",0,0,0
165,"(131.0, 421.0)",0,3,0
165,"(295.0, 380.0)",1,0,0
166,"(130.0, 401.0)",0,3,0
167,"(912.0, 381.0)",3,1,-1
168,"(913.0, 381.0)",3,1,-1
169,"(912.0, 380.0)",3,1,-1
170,"(708.0, 525.0)",2,2,1
171,"(707.0, 525.0)",2,2,1
172,"(707.0, 525.0)",2,2,1
173,"(688.0, 525.0)",2,2,1
174,"(377.0, 380.0)",1,4,0
175,"(397.0, 375.0)",1,4,0
176,"(337.0, 374.0)",1,4,0
177,"(729.0, 381.0)",3,1,-1
178,"(728.0, 464.0)",2,6,1
179,"(214.0, 381.0)",0,0,0
180,"(212.0, 381.0)",0,0,0
181,"(728.0, 505.0)",2,6,1
182,"(204.0, 381.0)",0,0,0
183,"(132.0, 400.0)",0,3,0
184,"(295.0, 379.0)",1,0,0
185,"(336.0, 379.0)",1,0,0
186,"(110.0, 422.0)",0,3,0
187,"(108.0, 423.0)",0,3,0
188,"(90.0, 442.0)",0,3,0
189,"(108.0, 442.0)",0,3,0
190,"(935.0, 381.0)",3,1,-1
191,"(954.0, 380.0)",4,1,6
192,"(953.0, 381.0)",4,1,6
193,"(439.0, 361.0)",1,4,0
194,"(440.0, 378.0)",1,4,0
195,"(89.0, 441.0)",0,3,0
196,"(747.0, 524.0)",2,6,1
197,"(191.0, 381.0)",0,0,0
198,"(212.0, 380.0)",0,0,0
199,"(192.0, 380.0)",0,0,0
200,"(151.0, 381.0)",0,3,0
201,"(500.0, 360.0)",1,4,0
202,"(479.0, 360.0)",1,4,0
203,"(460.0, 360.0)",1,4,0
204,"(476.0, 361.0)",1,4,0
205,"(400.0, 360.0)",1,4,0
206,"(336.0, 361.0)",1,4,0
207,"(336.0, 375.0)",1,0,0
208,"(336.0, 378.0)",1,0,0
209,"(397.0, 363.0)",1,4,0
210,"(439.0, 380.0)",1,4,0
211,"(459.0, 379.0)",1,4,0
212,"(459.0, 361.0)",1,4,0
213,"(104.0, 422.0)",0,3,0
214,"(109.0, 422.0)",0,3,0
215,"(95.0, 441.0)",0,3,0
216,"(107.0, 442.0)",0,3,0
217,"(109.0, 441.0)",0,3,0
218,"(109.0, 442.0)",0,3,0
219,"(109.0, 442.0)",0,3,0
220,"(315.0, 361.0)",1,0,0
221,"(334.0, 361.0)",1,4,0
222,"(416.0, 368.0)",1,4,0
223,"(479.0, 360.0)",1,4,0
224,"(479.0, 360.0)",1,4,0
225,"(460.0, 360.0)",1,4,0
226,"(480.0, 362.0)",1,4,0
227,"(457.0, 361.0)",1,4,0
228,"(335.0, 375.0)",1,0,0
229,"(357.0, 360.0)",1,4,0
230,"(395.0, 360.0)",1,4,0
231,"(392.0, 360.0)",1,4,0
232,"(439.0, 361.0)",1,4,0
233,"(953.0, 381.0)",4,1,6
234,"(954.0, 381.0)",4,1,6
235,"(953.0, 381.0)",4,1,6
236,"(953.0, 381.0)",4,1,6
237,"(953.0, 381.0)",4,1,6
238,"(113.0, 401.0)",0,3,0
238,"(935.0, 382.0)",3,1,-1
239,"(109.0, 421.0)",0,3,0
240,"(90.0, 442.0)",0,3,0
241,"(80.0, 422.0)",0,3,0
242,"(89.0, 440.0)",0,3,0
243,"(90.0, 442.0)",0,3,0
244,"(98.0, 422.0)",0,3,0
245,"(109.0, 422.0)",0,3,0
246,"(110.0, 403.0)",0,3,0
247,"(502.0, 379.0)",1,4,0
248,"(742.0, 514.0)",2,6,1
249,"(315.0, 361.0)",1,0,0
250,"(294.0, 380.0)",1,0,0
251,"(274.0, 380.0)",0,0,0
252,"(295.0, 378.0)",1,0,0
253,"(396.0, 360.0)",1,4,0
254,"(974.0, 381.0)",4,1,6
255,"(972.0, 381.0)",4,1,6
256,"(954.0, 381.0)",4,1,6
257,"(480.0, 360.0)",1,4,0
257,"(125.0, 380.0)",0,3,0
258,"(808.0, 525.0)",2,2,-1
258,"(131.0, 380.0)",0,3,0
259,"(129.0, 380.0)",0,3,0
260,"(129.0, 380.0)",0,3,0
261,"(111.0, 381.0)",0,3,0
262,"(378.0, 379.0)",1,4,0
263,"(419.0, 364.0)",1,4,0
264,"(480.0, 380.0)",1,4,0
265,"(729.0, 505.0)",2,6,1
266,"(730.0, 505.0)",2,6,1
267,"(746.0, 524.0)",2,6,1
268,"(131.0, 422.0)",0,3,0
269,"(172.0, 421.0)",0,0,0
270,"(131.0, 422.0)",0,3,0
271,"(127.0, 431.0)",0,3,0
272,"(89.0, 423.0)",0,3,0
273,"(398.0, 361.0)",1,4,0
274,"(440.0, 374.0)",1,4,0
275,"(459.0, 361.0)",1,4,0
276,"(480.0, 360.0)",1,4,0
277,"(110.0, 380.0)",0,3,0
278,"(131.0, 379.0)",0,3,0
279,"(191.0, 380.0)",0,0,0
279,"(500.0, 361.0)",1,4,0
280,"(169.0, 380.0)",0,3,0
281,"(193.0, 379.0)",0,0,0
282,"(193.0, 379.0)",0,0,0
283,"(151.0, 382.0)",0,3,0
284,"(153.0, 391.0)",0,3,0
285,"(192.0, 381.0)",0,0,0
286,"(223.0, 380.0)",0,0,0
287,"(232.0, 380.0)",0,0,0
288,"(212.0, 380.0)",0,0,0
289,"(171.0, 381.0)",0,3,0
290,"(130.0, 382.0)",0,3,0
291,"(111.0, 401.0)",0,3,0
292,"(109.0, 402.0)",0,3,0
293,"(88.0, 420.0)",0,3,0
294,"(108.0, 421.0)",0,3,0
295,"(97.0, 422.0)",0,3,0
296,"(109.0, 422.0)",0,3,0
297,"(89.0, 442.0)",0,3,0
298,"(90.0, 442.0)",0,3,0
299,"(477.0, 361.0)",1,4,0
300,"(748.0, 505.0)",2,6,1
301,"(748.0, 505.0)",2,6,1
302,"(747.0, 506.0)",2,6,1
303,"(748.0, 524.0)",2,6,1
304,"(192.0, 381.0)",0,0,0
305,"(172.0, 381.0)",0,3,0
306,"(131.0, 381.0)",0,3,0
307,"(129.0, 382.0)",0,3,0
308,"(129.0, 380.0)",0,3,0
308,"(480.0, 360.0)",1,4,0
309,"(479.0, 361.0)",1,4,0
310,"(459.0, 360.0)",1,4,0
311,"(459.0, 377.0)",1,4,0
312,"(440.0, 361.0)",1,4,0
313,"(89.0, 421.0)",0,3,0
313,"(419.0, 360.0)",1,4,0
313,"(295.0, 380.0)",1,0,0
314,"(315.0, 361.0)",1,0,0
315,"(315.0, 360.0)",1,0,0
316,"(315.0, 360.0)",1,0,0
317,"(314.0, 361.0)",1,0,0
318,"(296.0, 361.0)",1,0,0
319,"(131.0, 401.0)",0,3,0
320,"(105.0, 421.0)",0,3,0
321,"(110.0, 405.0)",0,3,0
322,"(129.0, 402.0)",0,3,0
323,"(111.0, 422.0)",0,3,0
324,"(130.0, 401.0)",0,3,0
325,"(130.0, 401.0)",0,3,0
326,"(973.0, 380.0)",4,1,6
327,"(955.0, 381.0)",4,1,6
328,"(314.0, 380.0)",1,0,0
329,"(399.0, 361.0)",1,4,0
330,"(439.0, 361.0)",1,4,0
331,"(440.0, 379.0)",1,4,0
332,"(729.0, 505.0)",2,6,1
333,"(728.0, 508.0)",2,6,1
334,"(728.0, 518.0)",2,6,1
335,"(294.0, 380.0)",1,0,0
336,"(130.0, 381.0)",0,3,0
337,"(318.0, 379.0)",1,0,0
337,"(111.0, 382.0)",0,3,0
338,"(316.0, 380.0)",1,0,0
339,"(130.0, 381.0)",0,3,0
340,"(110.0, 382.0)",0,3,0
341,"(127.0, 381.0)",0,3,0
342,"(150.0, 382.0)",0,3,0
343,"(171.0, 401.0)",0,3,0
344,"(192.0, 381.0)",0,0,0
345,"(171.0, 401.0)",0,3,0
346,"(129.0, 421.0)",0,3,0
