frame_indexes,detected_coordinates,frog_id_kmm,frog_id_gmm,frog_id_dbscan
155,"(438.0, 380.0)",1,3,1
156,"(438.0, 380.0)",1,3,1
157,"(439.0, 378.0)",1,3,1
158,"(437.0, 379.0)",1,3,1
159,"(89.0, 441.0)",0,4,0
160,"(89.0, 442.0)",0,4,0
161,"(108.0, 442.0)",0,4,0
162,"(110.0, 439.0)",0,4,0
163,"(108.0, 423.0)",0,4,0
164,"(111.0, 439.0)",0,4,0
165,"(131.0, 439.0)",0,4,0
166,"(151.0, 422.0)",0,0,0
167,"(151.0, 422.0)",0,0,0
168,"(131.0, 421.0)",0,4,0
169,"(975.0, 380.0)",4,1,2
170,"(975.0, 379.0)",4,1,2
171,"(976.0, 380.0)",4,1,2
172,"(977.0, 380.0)",4,1,2
173,"(994.0, 380.0)",4,1,2
174,"(1015.0, 382.0)",4,1,2
175,"(171.0, 422.0)",0,0,0
176,"(152.0, 422.0)",0,0,0
177,"(170.0, 421.0)",0,0,0
178,"(151.0, 420.0)",0,0,0
179,"(131.0, 421.0)",0,4,0
180,"(99.0, 422.0)",0,4,0
181,"(90.0, 430.0)",0,4,0
182,"(89.0, 440.0)",0,4,0
183,"(130.0, 422.0)",0,4,0
184,"(110.0, 422.0)",0,4,0
185,"(129.0, 422.0)",0,4,0
186,"(459.0, 379.0)",1,3,1
187,"(460.0, 380.0)",1,3,1
188,"(444.0, 380.0)",1,3,1
189,"(151.0, 442.0)",0,0,0
190,"(151.0, 442.0)",0,0,0
191,"(150.0, 422.0)",0,0,0
192,"(151.0, 422.0)",0,0,0
193,"(151.0, 404.0)",0,0,0
194,"(975.0, 379.0)",4,1,2
195,"(975.0, 380.0)",4,1,2
196,"(975.0, 380.0)",4,1,2
197,"(130.0, 423.0)",0,4,0
198,"(111.0, 422.0)",0,4,0
199,"(109.0, 422.0)",0,4,0
200,"(109.0, 422.0)",0,4,0
201,"(91.0, 438.0)",0,4,0
202,"(90.0, 441.0)",0,4,0
203,"(439.0, 361.0)",1,3,1
204,"(459.0, 361.0)",1,3,1
205,"(459.0, 377.0)",1,3,1
206,"(460.0, 376.0)",1,3,1
207,"(170.0, 400.0)",0,0,0
208,"(151.0, 401.0)",0,0,0
209,"(170.0, 402.0)",0,0,0
209,"(439.0, 380.0)",1,3,1
210,"(439.0, 380.0)",1,3,1
211,"(439.0, 380.0)",1,3,1
211,"(213.0, 443.0)",0,0,0
212,"(213.0, 463.0)",0,0,0
213,"(214.0, 463.0)",0,0,0
214,"(213.0, 471.0)",0,0,0
215,"(192.0, 463.0)",0,0,0
216,"(110.0, 442.0)",0,4,0
217,"(91.0, 442.0)",0,4,0
218,"(90.0, 442.0)",0,4,0
219,"(88.0, 442.0)",0,4,0
220,"(103.0, 441.0)",0,4,0
221,"(129.0, 422.0)",0,4,0
222,"(129.0, 422.0)",0,4,0
223,"(130.0, 441.0)",0,4,0
224,"(151.0, 422.0)",0,0,0
225,"(461.0, 361.0)",1,3,1
226,"(500.0, 377.0)",1,3,1
227,"(502.0, 361.0)",1,3,1
228,"(518.0, 360.0)",1,3,1
229,"(501.0, 361.0)",1,3,1
230,"(461.0, 361.0)",1,3,1
231,"(439.0, 380.0)",1,3,1
232,"(150.0, 401.0)",0,0,0
232,"(439.0, 375.0)",1,3,1
233,"(130.0, 407.0)",0,4,0
234,"(151.0, 443.0)",0,0,0
235,"(192.0, 443.0)",0,0,0
236,"(131.0, 443.0)",0,4,0
237,"(130.0, 442.0)",0,4,0
238,"(171.0, 438.0)",0,0,0
239,"(172.0, 422.0)",0,0,0
240,"(439.0, 380.0)",1,3,1
241,"(440.0, 378.0)",1,3,1
242,"(459.0, 361.0)",1,3,1
243,"(459.0, 380.0)",1,3,1
244,"(482.0, 360.0)",1,3,1
244,"(98.0, 442.0)",0,4,0
245,"(501.0, 360.0)",1,3,1
245,"(85.0, 442.0)",0,4,0
246,"(89.0, 442.0)",0,4,0
247,"(108.0, 443.0)",0,4,0
248,"(113.0, 442.0)",0,4,0
249,"(111.0, 442.0)",0,4,0
250,"(131.0, 423.0)",0,4,0
251,"(206.0, 421.0)",0,0,0
252,"(252.0, 400.0)",0,0,0
253,"(233.0, 381.0)",0,0,0
254,"(213.0, 403.0)",0,0,0
255,"(129.0, 442.0)",0,4,0
256,"(108.0, 443.0)",0,4,0
257,"(88.0, 442.0)",0,4,0
258,"(108.0, 442.0)",0,4,0
259,"(439.0, 380.0)",1,3,1
260,"(460.0, 361.0)",1,3,1
261,"(481.0, 361.0)",1,3,1
